Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67e306f15dfb2225c29505f5,65cbbbcc5c1ef8b850c91eb5,APPROVED,Not Applicable,2025-03-25T19:41:37.126000Z,2025-03-25T19:59:15.651000Z,2025-03-25T20:04:16.908000Z,2025-03-25T19:59:19.830318Z,1059.0,CYZTAQI1,647,English,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67e3070af68574c34af5a641,670435f6df9ef06a056c0744,APPROVED,Not Applicable,2025-03-25T19:43:49.865000Z,2025-03-25T20:01:42.079000Z,2025-03-25T20:04:17.303000Z,2025-03-25T20:01:42.749944Z,1073.0,CYZTAQI1,448,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67e30713fcb851daf65344c7,66ea8226df23b24cb53e266a,APPROVED,Not Applicable,2025-03-25T19:42:25.993000Z,2025-03-25T20:09:28.427000Z,2025-03-25T20:10:04.898000Z,2025-03-25T20:09:29.096759Z,1623.0,CYZTAQI1,364,English,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67e3071e698ed85d69fdb88c,62e2b5712f1bcd652ce6bff8,APPROVED,Not Applicable,2025-03-25T19:42:28.944000Z,2025-03-25T19:59:53.861000Z,2025-03-25T20:04:17.703000Z,2025-03-25T19:59:54.673365Z,1045.0,CYZTAQI1,1244,English,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67e30759dd185ed9d3d50629,5f2447bc5eb3020009277023,APPROVED,Not Applicable,2025-03-25T19:48:25.950000Z,2025-03-25T20:07:40.818000Z,2025-03-25T20:10:05.325000Z,2025-03-25T20:07:41.527159Z,1155.0,CYZTAQI1,2524,"English, Gujarati",44,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67e307804a98ce305517eeee,6785b7dd6705050739feb0ad,APPROVED,Not Applicable,2025-03-25T19:44:06.037000Z,2025-03-25T20:09:06.749000Z,2025-03-25T20:10:05.715000Z,2025-03-25T20:09:07.547643Z,1501.0,CYZTAQI1,235,English,27,Male,Black,Nigeria,United States,Nigeria,English,Yes,Part-Time
67e30786443ef6411d269d3a,67886304e14cde87368e3688,APPROVED,Not Applicable,2025-03-25T19:44:12.102000Z,2025-03-25T20:06:59.930000Z,2025-03-25T20:10:06.129000Z,2025-03-25T20:07:00.638539Z,1368.0,CYZTAQI1,312,English,63,Male,White,United States,United States,United States,English,No,Due to start a new job within the next month
67e3084487b14914052a2a5b,5e2bc60977d2c7208b30a554,RETURNED,Not Applicable,2025-03-25T19:47:21.531000Z,,,2025-03-25T23:11:24.560794Z,,,1833,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67e3084dedf3dbec950d8962,5c76ed4a909522000114e278,RETURNED,Not Applicable,2025-03-25T19:58:00.076000Z,,,2025-03-25T23:11:24.564101Z,,,1301,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67e308ef3a024f0b4b208426,673e7e6f2cbf961c153d11e3,APPROVED,Not Applicable,2025-03-25T19:50:20.755000Z,2025-03-25T20:12:38.548000Z,2025-03-25T20:18:46.833000Z,2025-03-25T20:12:39.194500Z,1338.0,CYZTAQI1,524,English,51,Male,Black,Nigeria,United States,Nigeria,English,No,DATA_EXPIRED
